filename,actor,case_unit_id,case_unit,year,genre,source_path,source_sha256,analysis_window,match_count,tec_matches,mes_matches,pat_matches,corpus_freeze_version,prior_configuration,candidate_configuration,candidate_notation,candidate_pair,dominant,secondary,tertiary,dominant_leadership,secondary_leadership,leadership_margin,direction_status,pair_source,recursive_feedback,tertiary_positive_retention,review_required
MENSAJE PRESIDENCIAL.2008.txt,Cristina Fernández de Kirchner,CFK_I_2007_2011,Cristina Fernández de Kirchner I (2007–2011),2008,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL.2008.txt,ff01be43fefdae9f071a5260423c9c4ac862ae3602e4f65b3078842049f71bec,full_presidential_document,20,17,1,2,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2890173410404624,0.2091329479768786,0.0798843930635837,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
2010-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,CFK_I_2007_2011,Cristina Fernández de Kirchner I (2007–2011),2010,apertura,corpus/processed/txt_analysis_ready_v3/2010-03-01 Mensaje Presidencial Fernandez.txt,17517a5f1f870861f11667f10c6e3edc463585ba5a4a6eebf3782a25fe451fa8,full_presidential_document,10,5,0,5,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
2011-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,CFK_I_2007_2011,Cristina Fernández de Kirchner I (2007–2011),2011,apertura,corpus/processed/txt_analysis_ready_v3/2011-03-01 Mensaje Presidencial Fernandez.txt,958edc97a5d8680eefd5c705a77a40f9a311569d10a889ca8d65b31a8e1a4fd4,full_presidential_document,33,22,0,11,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.3336416184971098,0.1239306358381503,0.2097109826589595,directed,masa léxica corregida por polaridad simétrica,False,0.0,True
Asunción.Cristina.2011.txt,Cristina Fernández de Kirchner,CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),2011,apertura,corpus/processed/txt_analysis_ready_v3/Asunción.Cristina.2011.txt,efcc74f15e8586fed78a71cde616466ade437084fdcce6619b4cf62123fa94ac,full_presidential_document,9,7,1,1,HCDN_NB17_v0_3,tecnocracia↔paternalismo,mesianismo↔tecnocracia,MES↔TEC,MES–TEC,mesianismo,tecnocracia,paternalismo,0.1445086705202312,0.1239306358381503,0.0205780346820809,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,False
2012-03-01 Mensaje Presidencial Fernandez.txt,Cristina Fernández de Kirchner,CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),2012,apertura,corpus/processed/txt_analysis_ready_v3/2012-03-01 Mensaje Presidencial Fernandez.txt,90a8ea2d63896c50ffe96e75c2440f7176d1b95443ec54d8c3e25a153ad6d5a9,full_presidential_document,23,13,0,10,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,True
2013-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),2013,apertura,corpus/processed/txt_analysis_ready_v3/2013-03-01_Asamblea_Legislativa-Fernandez.txt,41c1ac92e8cf4a52f250941f1f98abfca646a27cbb561150953585822b7901ea,full_presidential_document,42,21,0,21,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
2014-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),2014,apertura,corpus/processed/txt_analysis_ready_v3/2014-03-01_Asamblea_Legislativa-Fernandez.txt,7c735c0da02df64dbb16f7d8a8e54d4adaff8dca74632f75e1bbfebd152d8338,full_presidential_document,32,16,0,16,HCDN_NB17_v0_3,paternalismo↔tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.2064739884393063,0.0026589595375722,indeterminate,masa léxica corregida por polaridad simétrica,False,0.0,True
2015-03-01_Asamblea_Legislativa-Fernandez.txt,Cristina Fernández de Kirchner,CFK_II_2011_2015,Cristina Fernández de Kirchner II (2011–2015),2015,apertura,corpus/processed/txt_analysis_ready_v3/2015-03-01_Asamblea_Legislativa-Fernandez.txt,3c48ab7e772e5f41fdb7f00a9221ffdfa469065d66313334a336bd5eb3d0a43d,full_presidential_document,38,18,0,20,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,Mauricio Macri,MACRI_2015_2019,Mauricio Macri (2015–2019),2015,apertura,corpus/processed/txt_analysis_ready_v3/2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,227f665398f0338ba4121e6eb1378dd993d85880dcfc039b395b63abc9fe2342,full_presidential_document,4,1,0,3,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.0619653179190751,0.1445086705202312,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
2016-03-01_Asamblea_Legislativa-Macri.txt,Mauricio Macri,MACRI_2015_2019,Mauricio Macri (2015–2019),2016,apertura,corpus/processed/txt_analysis_ready_v3/2016-03-01_Asamblea_Legislativa-Macri.txt,668d6e95ff5e4d996c5589a006155a7a2f6ade2afe69b4e5cd459e544014e4d9,full_presidential_document,14,10,0,4,HCDN_NB17_v0_3,paternalismo+tecnocracia,tecnocracia+paternalismo,TEC→PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.0619653179190751,0.1471676300578034,directed,masa léxica corregida por polaridad simétrica,False,0.0,True
